Original Sentence,Extracted Keywords
human reproduction the testes are situated outside the abdominal cavity within a pouch called scrotum. the scrotum helps in maintaining the low temperature of the testes 22.5o c lower than the normal internal body temperature necessary for spermatogenesis. in adults each testis is oval in shape with a length of about 4 to 5 cm and a width of about 2 to 3 cm. the testis is covered by a dense covering. each testis has about 250 compartments called testicular lobules figure 2.1a diagrammatic sectional view of male pelvis figure 2.1b. showing reproductive system each lobule contains one to three highly coiled seminiferous tubules in which sperms are produced. each seminiferous tubule is lined on its inside by two types of cells called male germ cells spermatogonia and sertoli cells figure 2.2 . the male germ cells undergo meiotic divisions finally leading to sperm formation while sertoli cells provide nutrition to the germ cells. the regions outside the seminiferous tubules called interstitial spaces contain small blood vessels and interstitial cells or leydig cells figure 2.2. leydig cells synthesise and secrete testicular hormones called figure 2.1b diagrammatic view of male reproductive system part of testis is open to show inner details androgens. other immunologically competent cells are also present. the male sex accessory ducts include rete testis vasa efferentia epididymis and vas deferens figure 2.1b. the seminiferous tubules of the testis open into the vasa efferentia through rete testis. the vasa efferentia leave the testis and open into epididymis located along the posterior surface 27 of each testis. the epididymis leads to vas deferens that ascends to the abdomen and loops over the urinary bladder. it receives a duct from seminal vesicle and opens into urethra as the ejaculatory duct figure 2.1a. these ducts store and transport the sperms from the testis to the outside through urethra. the urethra originates from the urinary bladder and extends through the penis to its external opening called urethral meatus. rationalised 202324,"Human Reproduction, Testes, Scrotum"
human reproduction the testes are situated outside the abdominal cavity within a pouch called scrotum. the scrotum helps in maintaining the low temperature of the testes 22.5o c lower than the normal internal body temperature necessary for spermatogenesis. in adults each testis is oval in shape with a length of about 4 to 5 cm and a width of about 2 to 3 cm. the testis is covered by a dense covering. each testis has about 250 compartments called testicular lobules figure 2.1a diagrammatic sectional view of male pelvis figure 2.1b. showing reproductive system each lobule contains one to three highly coiled seminiferous tubules in which sperms are produced. each seminiferous tubule is lined on its inside by two types of cells called male germ cells spermatogonia and sertoli cells figure 2.2 . the male germ cells undergo meiotic divisions finally leading to sperm formation while sertoli cells provide nutrition to the germ cells. the regions outside the seminiferous tubules called interstitial spaces contain small blood vessels and interstitial cells or leydig cells figure 2.2. leydig cells synthesise and secrete testicular hormones called figure 2.1b diagrammatic view of male reproductive system part of testis is open to show inner details androgens. other immunologically competent cells are also present. the male sex accessory ducts include rete testis vasa efferentia epididymis and vas deferens figure 2.1b. the seminiferous tubules of the testis open into the vasa efferentia through rete testis. the vasa efferentia leave the testis and open into epididymis located along the posterior surface 27 of each testis. the epididymis leads to vas deferens that ascends to the abdomen and loops over the urinary bladder. it receives a duct from seminal vesicle and opens into urethra as the ejaculatory duct figure 2.1a. these ducts store and transport the sperms from the testis to the outside through urethra. the urethra originates from the urinary bladder and extends through the penis to its external opening called urethral meatus. rationalised 202324,"Testis, Spermatogenesis, Body Temperature"
human reproduction the testes are situated outside the abdominal cavity within a pouch called scrotum. the scrotum helps in maintaining the low temperature of the testes 22.5o c lower than the normal internal body temperature necessary for spermatogenesis. in adults each testis is oval in shape with a length of about 4 to 5 cm and a width of about 2 to 3 cm. the testis is covered by a dense covering. each testis has about 250 compartments called testicular lobules figure 2.1a diagrammatic sectional view of male pelvis figure 2.1b. showing reproductive system each lobule contains one to three highly coiled seminiferous tubules in which sperms are produced. each seminiferous tubule is lined on its inside by two types of cells called male germ cells spermatogonia and sertoli cells figure 2.2 . the male germ cells undergo meiotic divisions finally leading to sperm formation while sertoli cells provide nutrition to the germ cells. the regions outside the seminiferous tubules called interstitial spaces contain small blood vessels and interstitial cells or leydig cells figure 2.2. leydig cells synthesise and secrete testicular hormones called figure 2.1b diagrammatic view of male reproductive system part of testis is open to show inner details androgens. other immunologically competent cells are also present. the male sex accessory ducts include rete testis vasa efferentia epididymis and vas deferens figure 2.1b. the seminiferous tubules of the testis open into the vasa efferentia through rete testis. the vasa efferentia leave the testis and open into epididymis located along the posterior surface 27 of each testis. the epididymis leads to vas deferens that ascends to the abdomen and loops over the urinary bladder. it receives a duct from seminal vesicle and opens into urethra as the ejaculatory duct figure 2.1a. these ducts store and transport the sperms from the testis to the outside through urethra. the urethra originates from the urinary bladder and extends through the penis to its external opening called urethral meatus. rationalised 202324,"Testicular lobules, Male Pelvis, Reproductive System"
human reproduction the testes are situated outside the abdominal cavity within a pouch called scrotum. the scrotum helps in maintaining the low temperature of the testes 22.5o c lower than the normal internal body temperature necessary for spermatogenesis. in adults each testis is oval in shape with a length of about 4 to 5 cm and a width of about 2 to 3 cm. the testis is covered by a dense covering. each testis has about 250 compartments called testicular lobules figure 2.1a diagrammatic sectional view of male pelvis figure 2.1b. showing reproductive system each lobule contains one to three highly coiled seminiferous tubules in which sperms are produced. each seminiferous tubule is lined on its inside by two types of cells called male germ cells spermatogonia and sertoli cells figure 2.2 . the male germ cells undergo meiotic divisions finally leading to sperm formation while sertoli cells provide nutrition to the germ cells. the regions outside the seminiferous tubules called interstitial spaces contain small blood vessels and interstitial cells or leydig cells figure 2.2. leydig cells synthesise and secrete testicular hormones called figure 2.1b diagrammatic view of male reproductive system part of testis is open to show inner details androgens. other immunologically competent cells are also present. the male sex accessory ducts include rete testis vasa efferentia epididymis and vas deferens figure 2.1b. the seminiferous tubules of the testis open into the vasa efferentia through rete testis. the vasa efferentia leave the testis and open into epididymis located along the posterior surface 27 of each testis. the epididymis leads to vas deferens that ascends to the abdomen and loops over the urinary bladder. it receives a duct from seminal vesicle and opens into urethra as the ejaculatory duct figure 2.1a. these ducts store and transport the sperms from the testis to the outside through urethra. the urethra originates from the urinary bladder and extends through the penis to its external opening called urethral meatus. rationalised 202324,"Spermatogonia, Sertoli Cells, Sperms"
human reproduction the testes are situated outside the abdominal cavity within a pouch called scrotum. the scrotum helps in maintaining the low temperature of the testes 22.5o c lower than the normal internal body temperature necessary for spermatogenesis. in adults each testis is oval in shape with a length of about 4 to 5 cm and a width of about 2 to 3 cm. the testis is covered by a dense covering. each testis has about 250 compartments called testicular lobules figure 2.1a diagrammatic sectional view of male pelvis figure 2.1b. showing reproductive system each lobule contains one to three highly coiled seminiferous tubules in which sperms are produced. each seminiferous tubule is lined on its inside by two types of cells called male germ cells spermatogonia and sertoli cells figure 2.2 . the male germ cells undergo meiotic divisions finally leading to sperm formation while sertoli cells provide nutrition to the germ cells. the regions outside the seminiferous tubules called interstitial spaces contain small blood vessels and interstitial cells or leydig cells figure 2.2. leydig cells synthesise and secrete testicular hormones called figure 2.1b diagrammatic view of male reproductive system part of testis is open to show inner details androgens. other immunologically competent cells are also present. the male sex accessory ducts include rete testis vasa efferentia epididymis and vas deferens figure 2.1b. the seminiferous tubules of the testis open into the vasa efferentia through rete testis. the vasa efferentia leave the testis and open into epididymis located along the posterior surface 27 of each testis. the epididymis leads to vas deferens that ascends to the abdomen and loops over the urinary bladder. it receives a duct from seminal vesicle and opens into urethra as the ejaculatory duct figure 2.1a. these ducts store and transport the sperms from the testis to the outside through urethra. the urethra originates from the urinary bladder and extends through the penis to its external opening called urethral meatus. rationalised 202324,"Meiotic Divisions, Sertoli Cells, Sperm Formation"
human reproduction the testes are situated outside the abdominal cavity within a pouch called scrotum. the scrotum helps in maintaining the low temperature of the testes 22.5o c lower than the normal internal body temperature necessary for spermatogenesis. in adults each testis is oval in shape with a length of about 4 to 5 cm and a width of about 2 to 3 cm. the testis is covered by a dense covering. each testis has about 250 compartments called testicular lobules figure 2.1a diagrammatic sectional view of male pelvis figure 2.1b. showing reproductive system each lobule contains one to three highly coiled seminiferous tubules in which sperms are produced. each seminiferous tubule is lined on its inside by two types of cells called male germ cells spermatogonia and sertoli cells figure 2.2 . the male germ cells undergo meiotic divisions finally leading to sperm formation while sertoli cells provide nutrition to the germ cells. the regions outside the seminiferous tubules called interstitial spaces contain small blood vessels and interstitial cells or leydig cells figure 2.2. leydig cells synthesise and secrete testicular hormones called figure 2.1b diagrammatic view of male reproductive system part of testis is open to show inner details androgens. other immunologically competent cells are also present. the male sex accessory ducts include rete testis vasa efferentia epididymis and vas deferens figure 2.1b. the seminiferous tubules of the testis open into the vasa efferentia through rete testis. the vasa efferentia leave the testis and open into epididymis located along the posterior surface 27 of each testis. the epididymis leads to vas deferens that ascends to the abdomen and loops over the urinary bladder. it receives a duct from seminal vesicle and opens into urethra as the ejaculatory duct figure 2.1a. these ducts store and transport the sperms from the testis to the outside through urethra. the urethra originates from the urinary bladder and extends through the penis to its external opening called urethral meatus. rationalised 202324,"Ssels, Interstitial Cells, Leydig Cells, Testicular Hormones"
human reproduction the testes are situated outside the abdominal cavity within a pouch called scrotum. the scrotum helps in maintaining the low temperature of the testes 22.5o c lower than the normal internal body temperature necessary for spermatogenesis. in adults each testis is oval in shape with a length of about 4 to 5 cm and a width of about 2 to 3 cm. the testis is covered by a dense covering. each testis has about 250 compartments called testicular lobules figure 2.1a diagrammatic sectional view of male pelvis figure 2.1b. showing reproductive system each lobule contains one to three highly coiled seminiferous tubules in which sperms are produced. each seminiferous tubule is lined on its inside by two types of cells called male germ cells spermatogonia and sertoli cells figure 2.2 . the male germ cells undergo meiotic divisions finally leading to sperm formation while sertoli cells provide nutrition to the germ cells. the regions outside the seminiferous tubules called interstitial spaces contain small blood vessels and interstitial cells or leydig cells figure 2.2. leydig cells synthesise and secrete testicular hormones called figure 2.1b diagrammatic view of male reproductive system part of testis is open to show inner details androgens. other immunologically competent cells are also present. the male sex accessory ducts include rete testis vasa efferentia epididymis and vas deferens figure 2.1b. the seminiferous tubules of the testis open into the vasa efferentia through rete testis. the vasa efferentia leave the testis and open into epididymis located along the posterior surface 27 of each testis. the epididymis leads to vas deferens that ascends to the abdomen and loops over the urinary bladder. it receives a duct from seminal vesicle and opens into urethra as the ejaculatory duct figure 2.1a. these ducts store and transport the sperms from the testis to the outside through urethra. the urethra originates from the urinary bladder and extends through the penis to its external opening called urethral meatus. rationalised 202324,"androgens, male sex accessory ducts, vas deferens, seminiferous tu, immunologically competent cells"
human reproduction the testes are situated outside the abdominal cavity within a pouch called scrotum. the scrotum helps in maintaining the low temperature of the testes 22.5o c lower than the normal internal body temperature necessary for spermatogenesis. in adults each testis is oval in shape with a length of about 4 to 5 cm and a width of about 2 to 3 cm. the testis is covered by a dense covering. each testis has about 250 compartments called testicular lobules figure 2.1a diagrammatic sectional view of male pelvis figure 2.1b. showing reproductive system each lobule contains one to three highly coiled seminiferous tubules in which sperms are produced. each seminiferous tubule is lined on its inside by two types of cells called male germ cells spermatogonia and sertoli cells figure 2.2 . the male germ cells undergo meiotic divisions finally leading to sperm formation while sertoli cells provide nutrition to the germ cells. the regions outside the seminiferous tubules called interstitial spaces contain small blood vessels and interstitial cells or leydig cells figure 2.2. leydig cells synthesise and secrete testicular hormones called figure 2.1b diagrammatic view of male reproductive system part of testis is open to show inner details androgens. other immunologically competent cells are also present. the male sex accessory ducts include rete testis vasa efferentia epididymis and vas deferens figure 2.1b. the seminiferous tubules of the testis open into the vasa efferentia through rete testis. the vasa efferentia leave the testis and open into epididymis located along the posterior surface 27 of each testis. the epididymis leads to vas deferens that ascends to the abdomen and loops over the urinary bladder. it receives a duct from seminal vesicle and opens into urethra as the ejaculatory duct figure 2.1a. these ducts store and transport the sperms from the testis to the outside through urethra. the urethra originates from the urinary bladder and extends through the penis to its external opening called urethral meatus. rationalised 202324,"Testis, Vasa efferentia, epididymis"
human reproduction the testes are situated outside the abdominal cavity within a pouch called scrotum. the scrotum helps in maintaining the low temperature of the testes 22.5o c lower than the normal internal body temperature necessary for spermatogenesis. in adults each testis is oval in shape with a length of about 4 to 5 cm and a width of about 2 to 3 cm. the testis is covered by a dense covering. each testis has about 250 compartments called testicular lobules figure 2.1a diagrammatic sectional view of male pelvis figure 2.1b. showing reproductive system each lobule contains one to three highly coiled seminiferous tubules in which sperms are produced. each seminiferous tubule is lined on its inside by two types of cells called male germ cells spermatogonia and sertoli cells figure 2.2 . the male germ cells undergo meiotic divisions finally leading to sperm formation while sertoli cells provide nutrition to the germ cells. the regions outside the seminiferous tubules called interstitial spaces contain small blood vessels and interstitial cells or leydig cells figure 2.2. leydig cells synthesise and secrete testicular hormones called figure 2.1b diagrammatic view of male reproductive system part of testis is open to show inner details androgens. other immunologically competent cells are also present. the male sex accessory ducts include rete testis vasa efferentia epididymis and vas deferens figure 2.1b. the seminiferous tubules of the testis open into the vasa efferentia through rete testis. the vasa efferentia leave the testis and open into epididymis located along the posterior surface 27 of each testis. the epididymis leads to vas deferens that ascends to the abdomen and loops over the urinary bladder. it receives a duct from seminal vesicle and opens into urethra as the ejaculatory duct figure 2.1a. these ducts store and transport the sperms from the testis to the outside through urethra. the urethra originates from the urinary bladder and extends through the penis to its external opening called urethral meatus. rationalised 202324,"Vas deferens, seminal vesicle, urethra, ejaculatory duct"
human reproduction the testes are situated outside the abdominal cavity within a pouch called scrotum. the scrotum helps in maintaining the low temperature of the testes 22.5o c lower than the normal internal body temperature necessary for spermatogenesis. in adults each testis is oval in shape with a length of about 4 to 5 cm and a width of about 2 to 3 cm. the testis is covered by a dense covering. each testis has about 250 compartments called testicular lobules figure 2.1a diagrammatic sectional view of male pelvis figure 2.1b. showing reproductive system each lobule contains one to three highly coiled seminiferous tubules in which sperms are produced. each seminiferous tubule is lined on its inside by two types of cells called male germ cells spermatogonia and sertoli cells figure 2.2 . the male germ cells undergo meiotic divisions finally leading to sperm formation while sertoli cells provide nutrition to the germ cells. the regions outside the seminiferous tubules called interstitial spaces contain small blood vessels and interstitial cells or leydig cells figure 2.2. leydig cells synthesise and secrete testicular hormones called figure 2.1b diagrammatic view of male reproductive system part of testis is open to show inner details androgens. other immunologically competent cells are also present. the male sex accessory ducts include rete testis vasa efferentia epididymis and vas deferens figure 2.1b. the seminiferous tubules of the testis open into the vasa efferentia through rete testis. the vasa efferentia leave the testis and open into epididymis located along the posterior surface 27 of each testis. the epididymis leads to vas deferens that ascends to the abdomen and loops over the urinary bladder. it receives a duct from seminal vesicle and opens into urethra as the ejaculatory duct figure 2.1a. these ducts store and transport the sperms from the testis to the outside through urethra. the urethra originates from the urinary bladder and extends through the penis to its external opening called urethral meatus. rationalised 202324,"Urethra, Testis, Penis"
human reproduction the testes are situated outside the abdominal cavity within a pouch called scrotum. the scrotum helps in maintaining the low temperature of the testes 22.5o c lower than the normal internal body temperature necessary for spermatogenesis. in adults each testis is oval in shape with a length of about 4 to 5 cm and a width of about 2 to 3 cm. the testis is covered by a dense covering. each testis has about 250 compartments called testicular lobules figure 2.1a diagrammatic sectional view of male pelvis figure 2.1b. showing reproductive system each lobule contains one to three highly coiled seminiferous tubules in which sperms are produced. each seminiferous tubule is lined on its inside by two types of cells called male germ cells spermatogonia and sertoli cells figure 2.2 . the male germ cells undergo meiotic divisions finally leading to sperm formation while sertoli cells provide nutrition to the germ cells. the regions outside the seminiferous tubules called interstitial spaces contain small blood vessels and interstitial cells or leydig cells figure 2.2. leydig cells synthesise and secrete testicular hormones called figure 2.1b diagrammatic view of male reproductive system part of testis is open to show inner details androgens. other immunologically competent cells are also present. the male sex accessory ducts include rete testis vasa efferentia epididymis and vas deferens figure 2.1b. the seminiferous tubules of the testis open into the vasa efferentia through rete testis. the vasa efferentia leave the testis and open into epididymis located along the posterior surface 27 of each testis. the epididymis leads to vas deferens that ascends to the abdomen and loops over the urinary bladder. it receives a duct from seminal vesicle and opens into urethra as the ejaculatory duct figure 2.1a. these ducts store and transport the sperms from the testis to the outside through urethra. the urethra originates from the urinary bladder and extends through the penis to its external opening called urethral meatus. rationalised 202324,2324
biology figure 2.2 diagrammatic sectional view of seminiferous tubule the penis is the male external genitalia figure 2.1a b. it is made up of special tissue that helps in erection of the penis to facilitate insemination. the enlarged end of penis called the glans penis is covered by a loose fold of skin called foreskin. the male accessory glands figure 2.1a b include paired seminal vesicles a prostate and paired bulbourethral glands. secretions of these glands constitute the seminal plasma which is rich in fructose calcium and certain enzymes. the secretions of bulbourethral glands also helps in the lubrication of the penis. 2.2 t f r s he emale eproductive ystem the female reproductive system consists of a pair of ovaries alongwith a pair of oviducts uterus cervix vagina and the external genitalia located in pelvic region figure 2.3a. these parts of the system alongwith a pair of the mammary glands are integrated structurally and functionally to support the processes of ovulation fertilisation pregnancy birth and child care. ovaries are the primary female sex organs that produce the female 28 gamete ovum and several steroid hormones ovarian hormones. the ovaries are located one on each side of the lower abdomen figure 2.3b. each ovary is about 2 to 4 cm in length and is connected to the pelvic wall and uterus by ligaments. each ovary is covered by a thin epithelium which encloses the ovarian stroma. the stroma is divided into two zones a peripheral cortex and an inner medulla. rationalised 202324,"biology, seminiferous tubule, penis"
biology figure 2.2 diagrammatic sectional view of seminiferous tubule the penis is the male external genitalia figure 2.1a b. it is made up of special tissue that helps in erection of the penis to facilitate insemination. the enlarged end of penis called the glans penis is covered by a loose fold of skin called foreskin. the male accessory glands figure 2.1a b include paired seminal vesicles a prostate and paired bulbourethral glands. secretions of these glands constitute the seminal plasma which is rich in fructose calcium and certain enzymes. the secretions of bulbourethral glands also helps in the lubrication of the penis. 2.2 t f r s he emale eproductive ystem the female reproductive system consists of a pair of ovaries alongwith a pair of oviducts uterus cervix vagina and the external genitalia located in pelvic region figure 2.3a. these parts of the system alongwith a pair of the mammary glands are integrated structurally and functionally to support the processes of ovulation fertilisation pregnancy birth and child care. ovaries are the primary female sex organs that produce the female 28 gamete ovum and several steroid hormones ovarian hormones. the ovaries are located one on each side of the lower abdomen figure 2.3b. each ovary is about 2 to 4 cm in length and is connected to the pelvic wall and uterus by ligaments. each ovary is covered by a thin epithelium which encloses the ovarian stroma. the stroma is divided into two zones a peripheral cortex and an inner medulla. rationalised 202324,"Glans Penis, Insemination"
