Page,Preprocessed Sentence
152,in the absence sanitary napkins of fertilisation the corpus luteum degenerates
153,this causes disintegration properly wrapping it with a used paper
154,do of the endometrium leading to menstruation marking a new cycle
155,in not throw the used human beings menstrual cycles ceases around 50 years of age that is napkins in the termed as menopause
156,cyclic menstruation is an indicator of normal drainpipe of toilets or reproductive phase and extends between menarche and menopause
157,in the open area
158,after handling the napkin wash hands with soap
159,25 fertilisation and implantation during copulation coitus semen is released by the penis into the vagina insemination
160,the motile sperms swim rapidly pass through the cervix enter into the uterus and finally reach the ampullary region of the fallopian tube figure 211b
161,the ovum released by the ovary is also transported to the ampullary region where fertilisation takes place
162,fertilisation can only occur if the ovum and sperms are transported simultaneously to the ampullary region
163,this is the reason why not all copulations lead to fertilisation and pregnancy
164,the process of fusion of a sperm with an ovum is called fertilisation
165,during fertilisation a sperm comes in contact with the zona pellucida layer of the ovum figure 210 and induces changes in the membrane that block the entry of additional sperms
166,thus 35 35 it ensures that only one sperm can fertilise an ovum
167,the secretions of the acrosome help the sperm enter into the cytoplasm of the ovum through the zona pellucida and the plasma figure 210 ovum surrounded by few sperms rationalised 202324
168,biology membrane
169,this induces the completion of the meiotic division of the secondary oocyte
170,the second meiotic division is also unequal and results in the formation of a second polar body and a haploid ovum ootid
171,soon the haploid nucleus of the sperms and that of the ovum fuse together to form a diploid zygote
172,how many chromosomes will be there in the zygote
173,one has to remember that the sex of the baby has been decided at this stage itself
174,let us see how
175,as you know the chromosome pattern in the human female is xx and that in the male is xy
176,therefore all the haploid gametes ova produced by the female have the sex chromosome x whereas in the male gametes sperms the sex chromosome could be either x or y hence 50 per cent of sperms carry the x chromosome while the other 50 per cent carry the y
177,after fusion of the male and female gametes the zygote would carry either xx or xy depending on whether the sperm carrying x or y fertilised the ovum
178,the zygote carrying xx would develop into a female baby and xy would form a male you will learn more about the chromosomal patterns in chapter 5
179,that is why scientifically it is correct to say that the sex of the baby is determined by the father and not by the mother
180,the mitotic division starts as the zygote moves through the isthmus of the oviduct called cleavage towards the uterus figure 211 and forms 2 4 8 16 daughter cells called blastomeres
181,the embryo with 8 to 16 36 figure 211 transport of ovum fertilisation and passage of growing embryo through fallopian tube rationalised 202324
182,human reproduction blastomeres is called a morula figure 211e
183,the morula continues to divide and transforms into blastocyst figure 211g as it moves further into the uterus
184,the blastomeres in the blastocyst are arranged into an outer layer called trophoblast and an inner group of cells attached to trophoblast called the inner cell mass
185,the trophoblast layer then gets attached to the endometrium and the inner cell mass gets differentiated as the embryo
186,after attachment the uterine cells divide rapidly and covers the blastocyst
187,as a result the blastocyst becomes embedded in the endometrium of the uterus figure 211 step h
188,this is called implantation and it leads to pregnancy
189,26 p e d regnancy and mbryonic evelopment after implantation fingerlike projections appear on the trophoblast called chorionic villi which are surrounded by the uterine tissue and maternal blood
190,the chorionic villi and uterine tissue become interdigitated with each other and jointly form a structural and functional unit between developing embryo foetus and maternal body called placenta figure 212
191,the placenta facilitate the supply of oxygen and nutrients to the embryo and also removal of carbon dioxide and excretorywaste materials produced by the embryo
192,the placenta is connected to the embryo through an umbilical cord which helps in the transport of substances to and from the embryo
193,placenta also acts as an endocrine tissue and produces several hormones like human chorionic gonadotropin hcg human placental lactogen hpl estrogens progestogens etc
194,in the later phase of pregnancy a hormone called relaxin is also secreted by the ovary
195,let us remember that hcg hpl and relaxin are produced in women only during pregnancy
196,in addition during pregnancy the levels of other hormones like estrogens progestogens cortisol prolactin thyroxine etc are increased several folds in the maternal blood
197,increased production of these hormones is essential for supporting the fetal growth 37 metabolic changes in the mother and maintenance of pregnancy
198,immediately after implantation the inner cell mass embryo differentiates figure 212 the human foetus within the uterus rationalised 202324
199,biology into an outer layer called ectoderm and an inner layer called endoderm
200,a mesoderm soon appears between the ectoderm and the endoderm
201,these three layers give rise to all tissues organs in adults
202,it needs to be mentioned here that the inner cell mass contains certain cells called stem cells which have the potency to give rise to all the tissues and organs
203,what are the major features of embryonic development at various months of pregnancy
204,the human pregnancy lasts 9 months
205,do you know for how many months pregnancy last in dogs elephants cats
206,find out
207,in human beings after one month of pregnancy the embryos heart is formed
208,the first sign of growing foetus may be noticed by listening to the heart sound carefully through the stethoscope
209,by the end of the second month of pregnancy the foetus develops limbs and digits
210,by the end of 12 weeks first trimester most of the major organ systems are formed for example the limbs and external genital organs are well developed
211,the first movements of the foetus and appearance of hair on the head are usually observed during the fifth month
212,by the end of about 24 weeks end of second trimester the body is covered with fine hair eyelids separate and eyelashes are formed
213,by the end of nine months of pregnancy the foetus is fully developed and is ready for delivery
214,27 parturition and lactation the average duration of human pregnancy is about 9 months which is called the gestation period
215,vigorous contraction of the uterus at the end of pregnancy causes expulsiondelivery of the foetus
216,this process of delivery of the foetus childbirth is called parturition
217,parturition is induced by a complex neuroendocrine mechanism
218,the signals for parturition originate from the fully developed foetus and the placenta which induce mild uterine contractions called foetal ejection reflex
219,this triggers release of oxytocin from the maternal pituitary
220,oxytocin acts on the uterine muscle and causes stronger uterine contractions which in turn stimulates further secretion of oxytocin
221,the stimulatory reflex between the uterine contraction and oxytocin secretion continues resulting in stronger and stronger contractions
222,this leads to expulsion of the baby out of the uterus through the birth canal parturition
223,soon after the infant is delivered the placenta is also expelled out of the uterus
224,what do you think the doctors inject to induce delivery
225,the mammary glands of the female undergo differentiation during pregnancy and starts producing milk towards the end of pregnancy by 38 the process called lactation
226,this helps the mother in feeding the new born
227,the milk produced during the initial few days of lactation is called colostrum which contains several antibodies absolutely essential to develop resistance for the newborn babies
228,breastfeeding during the initial period of infant growth is recommended by doctors for bringing up a healthy baby
229,rationalised 202324
230,human reproduction summary humans are sexually reproducing and viviparous
231,the male reproductive system is composed of a pair of testes the male sex accessory ducts and the accessory glands and external genitalia
232,each testis has about 250 compartments called testicular lobules and each lobule contains one to three highly coiled seminiferous tubules
233,each seminiferous tubule is lined inside by spermatogonia and sertoli cells
234,the spermatogonia undergo meiotic divisions leading to sperm formation while sertoli cells provide nutrition to the dividing germ cells
235,the leydig cells outside the seminiferous tubules synthesise and secrete testicular hormones called androgens
236,the male external genitalia is called penis
237,the female reproductive system consists of a pair of ovaries a pair of oviducts a uterus a vagina external genitalia and a pair of mammary glands
238,the ovaries produce the female gamete ovum and some steroid hormones ovarian hormones
239,ovarian follicles in different stages of development are embedded in the stroma
240,the oviducts uterus and vagina are female accessory ducts
241,the uterus has three layers namely perimetrium myometrium and endometrium
242,the female external genitalia includes mons pubis labia majora labia minora hymen and clitoris
243,the mammary glands are one of the female secondary sexual characteristics
244,spermatogenesis results in the formation of sperms that are transported by the male sex accessory ducts
245,a normal human sperm is composed of a head neck a middle piece and tail
246,the process of formation of mature female gametes is called oogenesis
247,the reproductive cycle of female primates is called menstrual cycle
248,menstrual cycle starts only after attaining sexual maturation puberty
249,during ovulation only one ovum is released per menstrual cycle
250,the cyclical changes in the ovary and the uterus during menstrual cycle are induced by changes in the levels of pituitary and ovarian hormones
251,after coitus sperms are transported to the ampulla where the sperm fertilises the ovum leading to formation of a diploid zygote
252,the presence of x or y chromosome in the sperm determines the sex of the embryo
253,the zygote undergoes repeated mitotic division to form a blastocyst which is implanted in the uterus resulting in pregnancy
254,after nine months of pregnancy the fully developed foetus is ready for delivery
255,the process of childbirth is called parturition which is induced by a complex neuroendocrine mechanism involving cortisol estrogens and oxytocin
256,mammary glands differentiate during pregnancy and secrete milk after childbirth
257,the newborn baby is fed milk by the mother lactation during the initial few months of growth
258,exercises 39 1
259,fill in the blanks a humans reproduce asexuallysexually b humans are oviparous viviparous ovoviviparous c fertilisation is in humans externalinternal d male and female gametes are diploidhaploid e zygote is diploidhaploid rationalised 202324
260,biology f the process of release of ovum from a mature follicle is called g ovulation is induced by a hormone called h the fusion of male and female gametes is called i fertilisation takes place in j zygote divides to form which is implanted in uterus
261,k the structure which provides vascular connection between foetus and uterus is called 2
262,draw a labelled diagram of male reproductive system
263,3
264,draw a labelled diagram of female reproductive system
265,4
266,write two major functions each of testis and ovary
267,5
268,describe the structure of a seminiferous tubule
269,6
270,what is spermatogenesis
271,briefly describe the process of spermatogenesis
272,7
273,name the hormones involved in regulation of spermatogenesis
274,8
275,define spermiogenesis and spermiation
276,9
277,draw a labelled diagram of sperm
278,10
279,what are the major components of seminal plasma
280,11
281,what are the major functions of male accessory ducts and glands
282,12
283,what is oogenesis
284,give a brief account of oogenesis
285,13
286,draw a labelled diagram of a section through ovary
287,14
288,draw a labelled diagram of a graafian follicle
289,15
290,name the functions of the following a corpus luteum b endometrium c acrosome d sperm tail e fimbriae 16
291,identify truefalse statements
292,correct each false statement to make it true
293,a androgens are produced by sertoli cells
294,truefalse b spermatozoa get nutrition from sertoli cells
295,truefalse c leydig cells are found in ovary
296,truefalse d leydig cells synthesise androgens
297,truefalse e oogenesis takes place in corpus luteum
298,truefalse f menstrual cycle ceases during pregnancy
299,truefalse g presence or absence of hymen is not a reliable indicator of virginity or sexual experience
300,truefalse 17
301,what is menstrual cycle
302,which hormones regulate menstrual cycle
303,18
304,what is parturition
305,which hormones are involved in induction of parturition
306,19
307,in our society the women are often blamed for giving birth to daughters
308,40 can you explain why this is not correct
309,20
310,how many eggs are released by a human ovary in a month
311,how many eggs do you think would have been released if the mother gave birth to identical twins
312,would your answer change if the twins born were fraternal
313,21
314,how many eggs do you think were released by the ovary of a female dog which gave birth to 6 puppies
315,rationalised 202324
